Time,Channel A,Channel B
(ms),(V),(V)

-0.50007820,0.01037629,-0.00335704
-0.50002220,0.00991852,-0.00350963
-0.49996620,0.01022370,-0.00335704
-0.49991020,0.01007111,-0.00305185
-0.49985420,0.00976592,-0.00305185
-0.49979820,0.00976592,-0.00305185
-0.49974220,0.00930815,-0.00335704
-0.49968620,0.00946074,-0.00381481
-0.49963020,0.00946074,-0.00366222
-0.49957420,0.00930815,-0.00412000
-0.49951820,0.00930815,-0.00335704
-0.49946220,0.00900296,-0.00305185
-0.49940620,0.00869778,-0.00289926
-0.49935020,0.00854518,-0.00228889
-0.49929420,0.00854518,-0.00228889
-0.49923820,0.00854518,-0.00122074
-0.49918220,0.00900296,-0.00076296
-0.49912620,0.00869778,-0.00061037
-0.49907020,0.00930815,-0.00030519
-0.49901420,0.00961333,-0.00030519
-0.49895820,0.00991852,0.00015259
-0.49890220,0.00976592,0.00045778
-0.49884620,0.00991852,0.00015259
-0.49879020,0.01007111,0.00045778
-0.49873420,0.01007111,0.00015259
-0.49867820,0.01068148,0.00015259
-0.49862220,0.01098666,0.00000000
-0.49856620,0.01083407,0.00000000
-0.49851020,0.01159703,-0.00030519
-0.49845420,0.01190222,-0.00045778
-0.49839820,0.01174963,-0.00015259
-0.49834220,0.01129185,0.00000000
-0.49828620,0.01113926,-0.00061037
-0.49823020,0.01174963,-0.00045778
-0.49817420,0.01144444,-0.00076296
-0.49811820,0.01205481,-0.00122074
-0.49806220,0.01205481,-0.00152593
-0.49800620,0.01190222,-0.00152593
-0.49795020,0.01220740,-0.00106815
-0.49789420,0.01205481,-0.00076296
-0.49783820,0.01190222,-0.00015259
-0.49778220,0.01190222,0.00015259
-0.49772620,0.01159703,0.00000000
-0.49767020,0.01174963,0.00000000
-0.49761420,0.01205481,0.00000000
-0.49755820,0.01174963,0.00045778
-0.49750220,0.01159703,0.00091556
-0.49744620,0.01190222,0.00106815
-0.49739020,0.01159703,0.00152593
-0.49733420,0.01174963,0.00137333
-0.49727820,0.01174963,0.00152593
-0.49722220,0.01129185,0.00183111
-0.49716620,0.01144444,0.00152593
-0.49711020,0.01129185,0.00183111
-0.49705420,0.01190222,0.00213630
-0.49699820,0.01159703,0.00259407
-0.49694220,0.01159703,0.00289926
-0.49688620,0.01113926,0.00381481
-0.49683020,0.01083407,0.00427259
-0.49677420,0.01129185,0.00457778
-0.49671820,0.01113926,0.00503555
-0.49666220,0.01083407,0.00503555
-0.49660620,0.01068148,0.00534074
-0.49655020,0.01068148,0.00564592
-0.49649420,0.01083407,0.00595111
-0.49643820,0.01022370,0.00610370
-0.49638220,0.01007111,0.00625629
-0.49632620,0.00991852,0.00656148
-0.49627020,0.00961333,0.00656148
-0.49621420,0.00991852,0.00671407
-0.49615820,0.00961333,0.00686667
-0.49610220,0.00991852,0.00671407
-0.49604620,0.00976592,0.00640889
-0.49599020,0.00976592,0.00640889
-0.49593420,0.00991852,0.00717185
-0.49587820,0.01007111,0.00717185
-0.49582220,0.00961333,0.00778222
-0.49576620,0.00961333,0.00778222
-0.49571020,0.00946074,0.00808741
-0.49565420,0.00961333,0.00839259
-0.49559820,0.00946074,0.00885037
-0.49554220,0.00961333,0.00885037
-0.49548620,0.00976592,0.00900296
-0.49543020,0.01052889,0.00915555
-0.49537420,0.01068148,0.00961333
-0.49531820,0.01113926,0.00976592
-0.49526220,0.01083407,0.00991852
-0.49520620,0.01083407,0.00991852
-0.49515020,0.01098666,0.00991852
-0.49509420,0.01129185,0.00946074
-0.49503820,0.01129185,0.00946074
-0.49498220,0.01098666,0.00976592
-0.49492620,0.01068148,0.00961333
-0.49487020,0.01098666,0.00976592
-0.49481420,0.01083407,0.00930815
-0.49475820,0.01083407,0.00900296
-0.49470220,0.01098666,0.00885037
-0.49464620,0.01174963,0.00824000
-0.49459020,0.01190222,0.00793481
-0.49453420,0.01144444,0.00747704
-0.49447820,0.01190222,0.00732444
-0.49442220,0.01174963,0.00747704
-0.49436620,0.01236000,0.00732444
-0.49431020,0.01205481,0.00717185
-0.49425420,0.01251259,0.00732444
-0.49419820,0.01236000,0.00732444
-0.49414220,0.01236000,0.00640889
-0.49408620,0.01251259,0.00610370
-0.49403020,0.01297037,0.00549333
-0.49397420,0.01327555,0.00503555
-0.49391820,0.01358074,0.00473037
-0.49386220,0.01297037,0.00381481
-0.49380620,0.01297037,0.00366222
-0.49375020,0.01327555,0.00381481
-0.49369420,0.01281777,0.00350963
-0.49363820,0.01220740,0.00305185
-0.49358220,0.01190222,0.00289926
-0.49352620,0.01159703,0.00259407
