time,eng_strain1,eng_strain3,true_strain1,true_strain3,eng_stress1,eng_stress3,true_stress1,true_stress3,eng_strain1_rate,eng_strain3_rate,true_strain1_rate,true_strain3_rate,disp_1,disp_3,force_t,force_i,force_3,vel_1,vel_3,strain_i,strain_r,strain_t,tag,filename,Raw_Incident_Voltage,Raw_Transmitted_Voltage,Adjusted_Incident_Voltage,Adjusted_Reflected_Voltage,Adjusted_Transmitted_Voltage,Export_Date
0,0,0,0,0,-8668394.44772162,8494301.16608,-8668394.44772162,8494301.16608,-20.3897448663817,-5.00100234276758,-20.3899527400739,-5.00101484785101,0,0,-274.521268651736,269.007870659958,-2.75669899588866,-0.129474879901524,-0.0324239225615741,-3.51667143352381e-06,1.36289347264762e-05,-1.03195171996686e-05,D2L2-1.csv,C:\Users\Gabe Morris\Downloads\MatLab\SHPB_Analysis_Tool\SHPB Data\D2L2-1.csv,0.0019837,0.00961333,-0.0057274779047619,0.0221969620952381,-0.0168070312698186,17-Mar-2025 12:56:38
1e-06,-2.03897448663817e-05,-5.00100234276758e-06,-2.03899527400739e-05,-5.00101484785101e-06,-9061898.69732163,8336901.52928,-9061713.92751918,8336859.83641592,-20.5299113970904,-5.03604167898805,-20.5305407554162,-5.03607954541689,-1.29474879901524e-07,-3.17563648765741e-08,-286.983240297296,264.023147336596,-11.4800464803498,-0.129474879901524,-0.0310888071915741,-3.70405195352381e-06,1.36289347264762e-05,-1.07879746396686e-05,,,0.00183111,0.00946074,-0.0060326579047619,0.0221969620952381,-0.0175699912698186,
2e-06,-4.09196562634721e-05,-1.00370440217556e-05,-4.09204934954901e-05,-1.00370943932679e-05,-9140603.67332163,8258196.55328,-9140229.64296127,8258113.66539766,-20.670077927799,-5.2813354041849,-20.6711374213048,-5.28140236022591,-2.59839817273048e-07,-6.37352295381483e-08,-289.475765296133,261.53062233776,-13.9725714791867,-0.131254994841524,-0.0328689221315741,-3.98512887352381e-06,1.38163152464762e-05,-1.08816710396686e-05,,,0.0019837,0.00930815,-0.0064904379047619,0.0225021420952381,-0.0177225912698186,
3e-06,-6.15897341912711e-05,-1.53183794259405e-05,-6.15916309167949e-05,-1.53184967534938e-05,-9140603.67332163,8022091.94048,-9140040.70597104,8021969.05503187,-20.670077927799,-5.31637933331876,-20.671564726171,-5.31647490531095,-3.91094812114571e-07,-9.72717093547224e-08,-289.475765296133,254.053374015561,-17.711195640286,-0.131254994841524,-0.0342040375015741,-4.26620579352381e-06,1.38163152464762e-05,-1.08816710396686e-05,,,0.00183111,0.00961333,-0.0069482179047619,0.0225021420952381,-0.0177225912698186,
4e-06,-8.22598121190701e-05,-2.06347587592593e-05,-8.22631956429659e-05,-2.06349716588048e-05,-9534107.92292163,7785987.32768,-9533323.64899516,7785826.66570979,-21.0205034403975,-5.35142326245262,-21.0224536955843,-5.35154800963711,-5.22349806956095e-07,-1.31030718121297e-07,-301.937736941694,246.576125693362,-27.6808056241657,-0.131254994841524,-0.0333139800315741,-4.54728271352381e-06,1.38163152464762e-05,-1.13501284796686e-05,,,0.00183111,0.00930815,-0.0074059979047619,0.0225021420952381,-0.0184855512698186,
5e-06,-0.000103280315559468,-2.59861820217119e-05,-0.00010328564933855,-2.59865196684419e-05,-9848912.35412163,8022097.09808,-9847895.15534577,8021888.63440461,-21.4410122183502,-5.52663372229514,-21.4434567908635,-5.52679261475146,-6.55830003802619e-07,-1.65012255837871e-07,-311.907346925573,254.053537352717,-28.9269047864282,-0.135705398851524,-0.0346490954015741,-4.73466323352381e-06,1.42847788264762e-05,-1.17248956596686e-05,,,0.0021363,0.00915555,-0.0077111779047619,0.0232651120952381,-0.0190959212698186,
6e-06,-0.000124721327777818,-3.15128157440071e-05,-0.000124729106129414,-3.15133122831933e-05,-9848912.35412163,8022097.09808,-9847683.98469565,8021844.29921227,-21.3008410947282,-5.42150652780695,-21.3037250179474,-5.42169207749137,-7.91980431389143e-07,-2.00106379974445e-07,-311.907346925573,254.053537352717,-28.9269047864281,-0.136595456321524,-0.0355391528715741,-4.82835349352381e-06,1.43784690864762e-05,-1.17248956596686e-05,,,0.00244148,0.00930815,-0.0078637679047619,0.0234177020952381,-0.0190959212698186,
7e-06,-0.000146022168872546,-3.6934322271814e-05,-0.000146032831147361,-3.69350043606847e-05,-9927612.17252163,7864692.30368,-9926162.52106047,7864401.82659989,-20.8102490514211,-5.21125443528726,-20.8135048524098,-5.2114604962077,-9.27240772340667e-07,-2.34532946426019e-07,-314.399708587254,249.068650692199,-32.6655289475275,-0.133925225581524,-0.0333139800315741,-4.73466323352381e-06,1.40973921664762e-05,-1.18185859196686e-05,,,0.0019837,0.00915555,-0.0077111779047619,0.0229599220952381,-0.0192485112698186,
8e-06,-0.000166832417923967,-4.21455767071013e-05,-0.000166846335999771,-4.21464648568924e-05,-9848912.35412163,7392483.07808,-9847269.23625967,7392171.51761738,-20.8102490514211,-5.24629836442113,-20.8139380634107,-5.2465332450238,-1.05938585381719e-06,-2.67624412090093e-07,-311.907346925573,234.114154047802,-38.8965964388857,-0.130364937371524,-0.0328689512965741,-4.92204989352381e-06,1.37226249864762e-05,-1.17248956596686e-05,,,0.0021363,0.00915555,-0.0080163679047619,0.0223495520952381,-0.0190959212698186,
9e-06,-0.000187642666975388,-4.73918750715224e-05,-0.000187660274063182,-4.73929981019162e-05,-10006311.9909216,7707287.50928,-10004434.3798531,7706922.24647322,-20.810249051421,-5.28133999709828,-20.8143712924456,-5.28160424922459,-1.19153093529371e-06,-3.00938406704167e-07,-316.892070248935,244.083764031681,-36.4041531086268,-0.133925225581524,-0.0337590379315741,-4.92204989352381e-06,1.40973921664762e-05,-1.19122761796686e-05,,,0.00244148,0.00930815,-0.0080163679047619,0.0229599220952381,-0.0194011012698186,
