Time,Channel A,Channel B
(ms),(V),(V)

-0.50004702,0.00198370,0.00961333
-0.49999102,0.00183111,0.00946074
-0.49993502,0.00198370,0.00930815
-0.49987902,0.00183111,0.00961333
-0.49982302,0.00183111,0.00930815
-0.49976702,0.00213630,0.00915555
-0.49971102,0.00244148,0.00930815
-0.49965502,0.00198370,0.00915555
-0.49959902,0.00213630,0.00915555
-0.49954302,0.00244148,0.00930815
-0.49948702,0.00228889,0.00976592
-0.49943102,0.00167852,0.00976592
-0.49937502,0.00106815,0.00991852
-0.49931902,0.00183111,0.00946074
-0.49926302,0.00213630,0.00946074
-0.49920702,0.00213630,0.00930815
-0.49915102,0.00228889,0.00976592
-0.49909502,0.00213630,0.00991852
-0.49903902,0.00244148,0.00976592
-0.49898302,0.00244148,0.00961333
-0.49892702,0.00305185,0.00961333
-0.49887102,0.00305185,0.00976592
-0.49881502,0.00289926,0.00961333
-0.49875902,0.00350963,0.01007111
-0.49870302,0.00366222,0.01022370
-0.49864702,0.00350963,0.01068148
-0.49859102,0.00320444,0.01129185
-0.49853502,0.00305185,0.01144444
-0.49847902,0.00305185,0.01190222
-0.49842302,0.00320444,0.01129185
-0.49836702,0.00305185,0.01129185
-0.49831102,0.00335704,0.01098666
-0.49825502,0.00335704,0.01174963
-0.49819902,0.00350963,0.01129185
-0.49814302,0.00366222,0.01174963
-0.49808702,0.00335704,0.01174963
-0.49803102,0.00335704,0.01174963
-0.49797502,0.00305185,0.01205481
-0.49791902,0.00335704,0.01190222
-0.49786302,0.00335704,0.01236000
-0.49780702,0.00335704,0.01220740
-0.49775102,0.00320444,0.01220740
-0.49769502,0.00350963,0.01159703
-0.49763902,0.00366222,0.01190222
-0.49758302,0.00442518,0.01159703
-0.49752702,0.00427259,0.01220740
-0.49747102,0.00427259,0.01174963
-0.49741502,0.00396741,0.01190222
-0.49735902,0.00412000,0.01144444
-0.49730302,0.00442518,0.01159703
-0.49724702,0.00427259,0.01236000
-0.49719102,0.00457778,0.01220740
-0.49713502,0.00457778,0.01190222
-0.49707902,0.00473037,0.01205481
-0.49702302,0.00518815,0.01190222
-0.49696702,0.00503555,0.01159703
-0.49691102,0.00488296,0.01144444
-0.49685502,0.00488296,0.01129185
-0.49679902,0.00503555,0.01113926
-0.49674302,0.00503555,0.01129185
-0.49668702,0.00473037,0.01068148
-0.49663102,0.00503555,0.01098666
-0.49657502,0.00488296,0.01083407
-0.49651902,0.00503555,0.01129185
-0.49646302,0.00549333,0.01113926
-0.49640702,0.00564592,0.01144444
-0.49635102,0.00595111,0.01129185
-0.49629502,0.00640889,0.01098666
-0.49623902,0.00640889,0.01113926
-0.49618302,0.00625629,0.01129185
-0.49612702,0.00579852,0.01174963
-0.49607102,0.00610370,0.01098666
-0.49601502,0.00625629,0.01098666
-0.49595902,0.00610370,0.01098666
-0.49590302,0.00595111,0.01113926
-0.49584702,0.00625629,0.01083407
-0.49579102,0.00640889,0.01068148
-0.49573502,0.00640889,0.01083407
-0.49567902,0.00640889,0.01144444
-0.49562302,0.00656148,0.01159703
-0.49556702,0.00656148,0.01159703
-0.49551102,0.00640889,0.01144444
-0.49545502,0.00625629,0.01144444
-0.49539902,0.00656148,0.01205481
-0.49534302,0.00640889,0.01205481
-0.49528702,0.00610370,0.01144444
-0.49523102,0.00564592,0.01113926
-0.49517502,0.00564592,0.01129185
-0.49511902,0.00534074,0.01144444
-0.49506302,0.00534074,0.01083407
-0.49500702,0.00488296,0.01068148
-0.49495102,0.00457778,0.01098666
-0.49489502,0.00427259,0.01129185
-0.49483902,0.00396741,0.01129185
-0.49478302,0.00396741,0.01129185
-0.49472702,0.00366222,0.01098666
-0.49467102,0.00381481,0.01068148
-0.49461502,0.00396741,0.01052889
-0.49455902,0.00381481,0.01068148
-0.49450302,0.00366222,0.01098666
-0.49444702,0.00366222,0.01068148
-0.49439102,0.00412000,0.01098666
-0.49433502,0.00457778,0.01037629
-0.49427902,0.00457778,0.01068148
-0.49422302,0.00473037,0.01083407
-0.49416702,0.00488296,0.01098666
-0.49411102,0.00518815,0.01083407
-0.49405502,0.00488296,0.01052889
-0.49399902,0.00457778,0.01068148
-0.49394302,0.00457778,0.01037629
-0.49388702,0.00442518,0.01007111
-0.49383102,0.00427259,0.01007111
-0.49377502,0.00427259,0.01022370
-0.49371902,0.00427259,0.01022370
-0.49366302,0.00442518,0.00976592
-0.49360702,0.00396741,0.00900296
-0.49355102,0.00427259,0.00930815
-0.49349502,0.00473037,0.00976592
-0.49343902,0.00473037,0.00976592
-0.49338302,0.00503555,0.00976592
